title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_score,bechdel_desc
Such Good People,2014,insufficient sample,5.0,0.2,15.0,Missing,Missing
The Possibilities Are Endless,2014,insufficient sample,1.0,insufficient sample,1.0,Missing,Missing
Mostly Ghostly: Have You Met My Ghoulfriend?,2014,insufficient sample,3.0,0.6,15.0,Missing,Missing
Pocket Ninjas,1997,Missing,Missing,Missing,Missing,Missing,Missing
Occupy Love,2013,Missing,Missing,Missing,Missing,Missing,Missing
The Sky Above Us,2015,Missing,Missing,insufficient sample,2.0,Missing,Missing
Prime Suspect 5: Errors of Judgement,1996,insufficient sample,2.0,Missing,Missing,Missing,Missing
Sur le chemin de l'Ã©cole,2013,Missing,Missing,Missing,Missing,Missing,Missing
Frankenstein,2004,0.36363636363636365,11.0,insufficient sample,9.0,Missing,Missing
3: The Dale Earnhardt Story,2004,insufficient sample,2.0,insufficient sample,4.0,Missing,Missing
Johnny Tsunami,1999,insufficient sample,1.0,insufficient sample,6.0,Missing,Missing
Johnny Kapahala - Back on Board,2007,insufficient sample,1.0,insufficient sample,7.0,Missing,Missing
'Twas the Night,2001,insufficient sample,1.0,insufficient sample,8.0,Missing,Missing
The Ultimate Christmas Present,2000,insufficient sample,2.0,insufficient sample,4.0,Missing,Missing
"Merry Christmas, Drake and Josh",2008,insufficient sample,5.0,insufficient sample,10.0,Missing,Missing
Problem Child 3,1995,insufficient sample,9.0,insufficient sample,4.0,Missing,Missing
The Paper Brigade,1997,insufficient sample,1.0,Missing,Missing,Missing,Missing
Zenon: Girl of the 21st Century,1999,insufficient sample,2.0,insufficient sample,10.0,Missing,Missing
Zenon: The Zequel,2001,insufficient sample,2.0,insufficient sample,9.0,Missing,Missing
Zenon: Z3,2004,insufficient sample,2.0,Missing,Missing,Missing,Missing
"Up, Up, and Away",2000,insufficient sample,1.0,insufficient sample,6.0,Missing,Missing
Don't Look Under the Bed,1999,insufficient sample,2.0,0.3333333333333333,12.0,Missing,Missing
The Luck of the Irish,2001,Missing,Missing,Missing,Missing,Missing,Missing
Eddie's Million Dollar Cook Off,2003,Missing,Missing,insufficient sample,10.0,Missing,Missing
Wendy Wu: Homecoming Warrior,2006,insufficient sample,2.0,insufficient sample,6.0,Missing,Missing
18 Year Old Virgin,2009,Missing,Missing,insufficient sample,2.0,Missing,Missing
Web Junkie,2014,Missing,Missing,Missing,Missing,Missing,Missing
The Curse of Inferno,1996,Missing,Missing,insufficient sample,3.0,Missing,Missing
Mr. Holmes,2015,0.35714285714285715,14.0,Missing,Missing,Missing,Missing
ì•„ì¹˜ì™€ ì”¨íŒ�,2006,Missing,Missing,insufficient sample,2.0,Missing,Missing
Bite Size,2014,Missing,Missing,Missing,Missing,Missing,Missing
