,title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_desc,bechdel_score,synopsis
99,Bottle Rocket,1996,0.1875,16.0,insufficient sample,6.0,Missing,Missing,"Upon his release from a mental hospital following a nervous breakdown, the directionless Anthony joins his friend Dignan, who seems far less sane than the former. Dignan has hatched a hair-brained scheme for an as-yet-unspecified crime spree that somehow involves his former boss, the (supposedly) legendary Mr. Henry."
100,Mr. Wrong,1996,Missing,Missing,insufficient sample,8.0,There are two or more women in this movie and they talk to each other about something other than a man,3,"A single and lonely woman finds the seemingly perfect man to date, but soon regrets it when his deranged and possessive other personality emerges and worst still, she cannot convince anyone else of his Jekyll/Hyde true nature."
102,Happy Gilmore,1996,0.0,10.0,Missing,Missing,Missing,Missing,"Failed hockey player-turned-golf whiz Happy Gilmore -- whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin -- is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image."
103,The Bridges of Madison County,1995,0.2,10.0,insufficient sample,7.0,There are two or more women in this movie and they talk to each other about something other than a man,3,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.
104,Keiner liebt mich,1994,1.0,2.0,insufficient sample,4.0,Missing,Missing,No overview found.
105,Muppet Treasure Island,1996,0.0,7.0,Missing,Missing,"There are two or more women in this movie, but they don't talk to each other",1,"After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on board can be trusted."
106,Catwalk,1995,Missing,Missing,0.47368421052631576,19.0,Missing,Missing,"A documentary following Christy Turlington and other models during spring fashion week in Milan, Paris and New York."
107,Headless Body in Topless Bar,1995,0.0,1.0,insufficient sample,8.0,Missing,Missing,An ex-con holds a group of people hostage in a topless bar.
108,Braveheart,1995,Missing,Missing,Missing,Missing,"There are two or more women in this movie, but they only talk to each other about a man",2,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule."
109,Taxi Driver,1976,0.2727272727272727,22.0,Missing,Missing,Missing,Missing,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action, attempting to save a preadolescent prostitute in the process."
111,Before and After,1996,0.0,4.0,Missing,Missing,Missing,Missing,Two parents deal with the effects when their son is accused of murdering his girlfriend.
112,Margaret's Museum,1995,0.14285714285714285,7.0,insufficient sample,5.0,Missing,Missing,"In a town where half the men die down the coalpit, Margaret MacNeil is quite happy being single in her small Cape Breton island town. Until she meets Neil Currie, a charming and sincere bagpipe-playing, Gaelic-speaking dishwasher. But no matter what you do, you can't avoid the spectre of the pit forever."
114,Anne Frank Remembered,1995,Missing,Missing,insufficient sample,2.0,Missing,Missing,"Using previously unreleased archival material in addition to contemporary interviews, this academy award-winning documentary tells the story of the Frank family and presents the first fully-rounded portrait of their brash and free-spirited daughter Anne, perhaps the world's most famous victim of the Holocaust. Written by Dawn M. Barclift"
115,The Young Poisoner's Handbook,1995,0.5,2.0,Missing,Missing,Missing,Missing,"A sinister tale of genius gone wrong, The Young Poisoner's Handbook chronicles a young man's descent into madness against the absurd backdrop of suburban English life. Hugh O'Conor plays Graham Young, a schoolboy from the London suburbs whose deadly obsession with toxic substances causes him to dabble in experimental murder."
116,If Lucy Fell,1996,0.25,4.0,insufficient sample,6.0,Missing,Missing,"Joe and Lucy are roommates and best friends. Lucy, whose love life is embarrassingly dull, convinces Joe, who is infatuated with a neighbor he's never met, that if they don't have stable romances within a month, they must jump off the Brooklyn Bridge."
117,Steal Big Steal Little,1995,0.0,2.0,insufficient sample,9.0,Missing,Missing,"Ruben and Robby are twin brothers, adopted by Mona, one of the wealthiest - and most eccentric - women in Santa Barbara. Ruben is devoted to Mona, but Robby is more devoted to her money. So when Mona leaves her fortune and estate to Ruben it starts a battle between brothers that soon leads to madness, mayhem, and even attempted murder. On Ruben's side is Lou Perilli an ex-Chicago cop and used car dealer who knows the law - and how to get around it. On Robby's side is ruthless businessman Reed Tyler, who is out to turn a swift profit on Mona's property. Walking a shifty line between them is Eddie Agopian, the family lawyer, who doesn't care which side wins as long as he's on the winner's side. But whether they're stealing big or stealing little, they're all stealing in this hilarious comedy about greed, power... and brotherly love."
118,Race the Sun,1996,0.0,2.0,insufficient sample,10.0,Missing,Missing,"A bunch of high school misfits in Hawaii, introduced by their new teacher, attend a science fair in which they draw up inspiration to build their own solar car and win a trip to compete in the 1990 World Solar Challenge in Australia."
119,The Boys of St. Vincent,1992,Missing,Missing,insufficient sample,4.0,Missing,Missing,"The true story of boys being sexually abused at their orphanage, run by a religious community in Newfoundland."
120,Boomerang,1992,0.0,4.0,Missing,Missing,There are two or more women in this movie and they talk to each other about something other than a man,3,"Marcus is a successful advertising executive who woos and beds women almost at will. After a company merger he finds that his new boss, the ravishing Jacqueline, is treating him in exactly the same way. Completely traumatised by this, his work goes badly downhill."
122,L'uomo delle stelle,1995,Missing,Missing,Missing,Missing,Missing,Missing,The adventures and deceptions of a photographer who travels through the small villages of Sicily pretending that he is working for the big film studios in Rome.
123,Flirting with Disaster,1996,0.45454545454545453,11.0,0.5,20.0,Missing,Missing,"Adopted as a child, new father Mel Colpin decides he cannot name his son until he knows his birth parents, and determines to make a cross-country quest to find them. Accompanied by his wife, Nancy, and an inept yet gorgeous adoption agent, Tina, he departs on an epic road trip that quickly devolves into a farce of mistaken identities, wrong turns, and overzealous and love-struck ATF agents."
124,The NeverEnding Story III,1994,0.15384615384615385,13.0,0.38461538461538464,13.0,Missing,Missing,A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.
126,Jupiter's Wife,1995,Missing,Missing,Missing,Missing,Missing,Missing,"Michel Negroponte, a documentary filmmaker, meets Maggie one day in Central Park. Maggie claims to be married to the god Jupiter and the daughter of actor Robert Ryan. Michel gets to know Maggie over the next couple of years, and attempts to use her often outlandish stories as clues to reconstruct her past. - Written by James Meek"
127,Pie in the Sky,1996,0.35714285714285715,14.0,insufficient sample,8.0,Missing,Missing,Pie in the Sky is a 1996 American romantic comedy film about a young man obsessed with traffic gridlock who falls in love with an avant-garde dancer.
128,Angela,1995,0.625,8.0,insufficient sample,3.0,Missing,Missing,"A ten year old girl named Angela leads her six year old sister, Ellie, through various regimens of 'purification' in an attempt to rid themselves of their evil, which she believes to be the cause of their mother's mental illness. Precocious, to say the least, Angela has visions of Lucifer coming to take her and her sister away, and one of her remedies for this is for them to remain within a circle of their dolls and toys until they see a vision of the virgin Mary come to them. But such thinking can only lead to an ending befitting of her own mental state."
129,Frankie Starlight,1995,Missing,Missing,insufficient sample,6.0,Missing,Missing,The quirky story of a young boy's adventures growing up with his stunningly beautiful mother and the two very different men who love her.
130,Jade,1995,0.0,3.0,0.21052631578947367,19.0,Missing,Missing,"Someone does a nasty hatchet job on a San Fransisco big noise and the Assistant D.A. takes charge of the investigation. Through a web of blackmail and prostitution involving the Governor, an old lover of the law man emerges as a prime suspect and he has to deal with his personal feelings as well as the case."
131,Nueba Yol,1995,0.0,2.0,Missing,Missing,Missing,Missing,"Balbuena is a genial illegal immigrant who makes his way to New York City to take a bite out of the Big Apple. But his hopes of finding a better life soon begin to fade as Balbuena encounters one obstacle after another in the hardscrabble, uncaring metropolis."
132,Sonic Outlaws,1995,Missing,Missing,Missing,Missing,Missing,Missing,"Within days after the release of Negativland's clever parody of U2 and Casey Kasem, recording industry giant Island Records descended upon the band with a battery of lawyers intent on erasing the piece from the history of rock music.  Craig ""Tribulation 99"" Baldwin follows this and other intellectual property controversies across the contemporary arts scene. Playful and ironic, his cut-and-paste collage-essay surveys the prospects for an ""electronic folk culture"" in the midst of an increasingly commodified corporate media landscape."
133,Down Periscope,1996,0.2631578947368421,19.0,Missing,Missing,Fewer than two women in this movie,0,"Bumbling Navy lieutenant Tom Dodge has been given one last chance to clean up his record. But Admiral Graham, his nemesis, assigns Dodge to the Stingray, a submarine that can barely keep afloat. To add insult to injury, the Stingray is to be the enemy flagship in the upcoming war games … and to make matters even worse, Dodge's crew is a band of idiots even more incompetent that he is!"
134,From the Journals of Jean Seberg,1995,1.0,1.0,insufficient sample,2.0,Missing,Missing,"Mark Rappaport's creative bio-pic about actress Jean Seberg is presented in a first-person, autobiographical format (with Seberg played by Mary Beth Hurt). He seamlessly interweaves cinema, politics, American society and culture, and film theory to inform, entertain, and move the viewer. Seberg's many marriages, as well as her film roles, are discussed extensively. Her involvement with the Black Panther Movement and subsequent investigation by the FBI is covered. Notably, details of French New Wave cinema, Russian Expressionist (silent) films, and the careers of Jane Fonda, Vanessa Redgrave, and Clint Eastwood are also intensively examined. Much of the film is based on conjecture, but Rappaport encourages viewers to re-examine their ideas about women in film with this thought-provoking picture."
136,The Neon Bible,1995,0.3333333333333333,6.0,0.5454545454545454,11.0,Missing,Missing,"While on a train, a teenage boy thinks about his life and the flamboyant aunt whose friendship acted as an emotional shield from his troubled family. This film evokes the haunting quality of memory while creating a heartfelt portrait of a boy's life in a rural 1940s Southern town."
138,Up Close & Personal,1996,0.16666666666666666,6.0,Missing,Missing,Missing,Missing,"Tally Atwater has a dream: to be a prime-time network newscaster. She pursues this dream with nothing but ambition, raw talent and a homemade demo tape. Warren Justice is a brilliant, hard edged, veteran newsman. He sees Tally has talent and becomes her mentor. Tally’s career takes a meteoric rise and she and Warren fall in love. The romance that results is as intense and revealing as television news itself. Yet, each breaking story, every videotaped crisis that brings them together, also threatens to drive them apart..."
139,The Birdcage,1996,0.2,5.0,insufficient sample,10.0,"There are two or more women in this movie, but they only talk to each other about a man",2,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancé's conservative moralistic parents.
140,Gospa,1995,0.0,1.0,insufficient sample,5.0,Missing,Missing,"In 1981 in Medjugorje (BA), a group of kids claim that Virgin Mary appeared to them on a hill. The local priest believes them and spreads the word. Religious tourism blossoms. The communist government is concerned and arrests the priest."
141,The Brothers McMullen,1995,0.0,3.0,insufficient sample,6.0,Missing,Missing,"Deals with the lives of the three Irish Catholic McMullen brothers from Long Island, New York, over three months, as they grapple with basic ideas and values — love, sex, marriage, religion and family — in the 1990s. Directed, written, produced by and starring Edward Burns."
143,The Amazing Panda Adventure,1995,0.0,2.0,insufficient sample,4.0,Missing,Missing,"Far from home in the lush bamboo forests of China, ten-year-old Ryan Tyler, with the help of a young girl, goes on a wonderful journey to rescue a baby panda taken by poachers."
144,The Basketball Diaries,1995,0.4,5.0,Missing,Missing,"There are two or more women in this movie, but they don't talk to each other",1,Film adaptation of street tough Jim Carroll's epistle about his kaleidoscopic free fall into the harrowing world of drug addiction.
145,An Awfully Big Adventure,1995,0.38461538461538464,13.0,Missing,Missing,Missing,Missing,Liverpool. 1947.  A star-struck young girl learns about the grown-up world of the theater.
147,Apollo 13,1995,Missing,Missing,0.24,25.0,There are two or more women in this movie and they talk to each other about something other than a man,3,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy."
148,Rob Roy,1995,0.0,7.0,Missing,Missing,Missing,Missing,"In the highlands of Scotland in the 1700s, Rob Roy tries to lead his small town to a better future, by borrowing money from the local nobility to buy cattle to herd to market. When the money is stolen, Rob is forced into a Robin Hood lifestyle to defend his family and honour."
149,The Addiction,1995,0.0,4.0,insufficient sample,6.0,There are two or more women in this movie and they talk to each other about something other than a man,3,A vampiric doctoral student tries to follow the philosophy of a nocturnal comrade and control her thirst for blood.
150,Batman Forever,1995,Missing,Missing,Missing,Missing,"There are two or more women in this movie, but they don't talk to each other",1,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin."
151,Belle de jour,1967,0.0,7.0,Missing,Missing,Missing,Missing,"Beautiful young housewife Séverine Serizy cannot reconcile her masochistic fantasies with her everyday life alongside dutiful husband Pierre. When her lovestruck friend Henri mentions a secretive high-class brothel run by Madame Anais, Séverine begins to work there during the day under the name Belle de Jour. But when one of her clients grows possessive, she must try to go back to her normal life."
152,Beyond Rangoon,1995,0.15384615384615385,13.0,insufficient sample,4.0,Missing,Missing,"Patricia Arquette stars as American widow Laura Bowman, a young doctor who's unwittingly drawn into political turmoil while vacationing in Burma in the late 1980s, in this fictionalized drama based on actual events. Bowman initially left San Francisco with her sister (Frances McDormand) in an attempt to escape painful memories of her husband and son's violent deaths. But her fight to escape to Thailand could prove just as harrowing."
153,Blue in the Face,1995,0.14285714285714285,14.0,0.3157894736842105,19.0,Missing,Missing,"Auggie runs a small tobacco shop in Brooklyn, New York. The whole neighborhood comes to visit him to buy cigarettes and have some small talk. During the movie Lou Reed tries to explain why he has to have a cut on his health insurance bill if he keeps smoking and Madonna acts as a Singing Telegram."
154,Canadian Bacon,1995,0.3333333333333333,9.0,Missing,Missing,"There are two or more women in this movie, but they don't talk to each other",1,"The U.S. President, low in the opinion polls, gets talked into raising his popularity by trying to start a cold war with Canada."
155,Casper,1995,0.4117647058823529,17.0,Missing,Missing,There are two or more women in this movie and they talk to each other about something other than a man,3,"Furious that her late father only willed her his gloomy-looking mansion rather than his millions, Carrigan Crittenden is ready to burn the place to the ground when she discovers a map to a treasure hidden in the house. But when she enters the rickety mansion to seek her claim, she is frightened away by a wicked wave of ghosts. Determined to get her hands on this hidden fortune, she hires afterlife therapist Dr. James Harvey to exorcise the ghosts from the mansion. Harvey and his daughter Kat move in, and soon Kat meets Casper, the ghost of a young boy who's ""the friendliest ghost you know."" But not so friendly are Casper's uncles--Stretch, Fatso and Stinkie--who are determined to drive all ""fleshies"" away."
156,Clockers,1995,0.0,2.0,Missing,Missing,Missing,Missing,"Strike is a young city drug pusher under the tutelage of drug lord Rodney Little. When a night manager at a fast-food restaurant is found with four bullets in his body, Strike’s older brother turns himself in as the killer. Det. Rocco Klein doesn’t buy the story, however, setting out to find the truth, and it seems that all the fingers point toward Strike & Rodney."
157,Congo,1995,0.2222222222222222,9.0,Missing,Missing,Fewer than two women in this movie,0,"Eight people embark on an expedition into the Congo, a mysterious expanse of unexplored Africa where human greed and the laws of nature have gone berserk. When the thrill-seekers -- some with ulterior motives -- stumble across a race of killer apes."
158,Crimson Tide,1995,Missing,Missing,Missing,Missing,Missing,Missing,"On a US nuclear missile sub, a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so."
159,Crumb,1994,Missing,Missing,insufficient sample,3.0,Missing,Missing,"This movie chronicles the life and times of R. Crumb. Robert Crumb is the cartoonist/artist who drew Keep On Truckin', Fritz the Cat, and played a major pioneering role in the genesis of underground comix. Through interviews with his mother, two brothers, wife, and ex-girlfriends, as well as selections from his vast quantity of graphic art, we are treated to a darkly comic ride through one man's subconscious mind."
160,Desperado,1995,0.16666666666666666,12.0,0.16666666666666666,12.0,"There are two or more women in this movie, but they don't talk to each other",1,"El Mariachi, a musician, arrives in a Mexican town and is mistaken as a hit-man. He runs into trouble with a local drug lord and seeks to avenge the death of his lover."
161,Devil in a Blue Dress,1995,0.3333333333333333,6.0,Missing,Missing,"There are two or more women in this movie, but they don't talk to each other",1,"In late 1940s Los Angeles, Easy Rawlins is an unemployed black World War II veteran with few job prospects. At a bar, Easy meets DeWitt Albright, a mysterious white man looking for someone to investigate the disappearance of a missing white woman named Daphne Monet, who he suspects is hiding out in one of the city's black jazz clubs. Strapped for money and facing house payments, Easy takes the job, but soon finds himself in over his head."
162,Die Hard: With a Vengeance,1995,0.047619047619047616,21.0,0.25,12.0,"There are two or more women in this movie, but they don't talk to each other",1,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration."
163,The Doom Generation,1995,0.2727272727272727,11.0,Missing,Missing,Missing,Missing,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex and violence-filled journey through an America of psychos and quickiemarts."
164,Feast of July,1995,0.2,10.0,insufficient sample,6.0,Missing,Missing,"After an abandoned young woman in late 19th Century England is taken in by a rural couple with three handsome sons, tragic consequences result."
165,First Knight,1995,0.16666666666666666,12.0,Missing,Missing,"There are two or more women in this movie, but they only talk to each other about a man",2,"The timeless tale of King Arthur and the legend of Camelot are retold in this passionate period drama. Arthur is reluctant to hand the crown to Lancelot, and Guinevere is torn between her loyalty to her husband and her growing love for his rival. But Lancelot must balance his loyalty to the throne with the rewards of true love."
166,Free Willy 2 - The Adventure Home,1995,0.42857142857142855,7.0,insufficient sample,10.0,Missing,Missing,Jesse becomes reunited with Willy three years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.
167,Hackers,1995,0.25,16.0,Missing,Missing,"There are two or more women in this movie, but they only talk to each other about a man",2,"Along with his new friends, a teenager who was arrested by the US Secret Service and banned from using a computer for writing a computer virus discovers a plot by a nefarious hacker, but they must use their computer skills to find the evidence while being pursued by the Secret Service and the evil computer genius behind the virus."
168,Jeffrey,1995,0.16666666666666666,6.0,0.5,16.0,Missing,Missing,"Jeffery, a young gay man in New York, decides that sex is too much and decided to become celibate. He immediately meets the man of his dreams and must decide whether or not love is worth the danger of a boyfriend dying."
169,Johnny Mnemonic,1995,0.0,6.0,Missing,Missing,Missing,Missing,"In a dystopian 2021, Johnny is a data trafficker who has an implant that allows him to securely store data too sensitive for regular computer networks. On one delivery run, he accepts a package that not only exceeds the implant's safety limits—and will kill him if the data is not removed in time—but also contains information far more important and valuable than he had ever imagined. On a race against time, he must avoid the assassins sent to kill him and remove the data before it, too, ends his life."
170,Judge Dredd,1995,0.07142857142857142,14.0,Missing,Missing,There are two or more women in this movie and they talk to each other about something other than a man,3,"In a dystopian future, Dredd, the most famous judge (a cop with instant field judiciary powers) is convicted for a crime he did not commit while his murderous counterpart escapes."
171,Jury Duty,1995,0.5,4.0,0.3125,16.0,Missing,Missing,"When jobless Tommy Collins discovers that sequestered jurors earn free room and board as well as $5-a-day, he gets himself assigned to a jury in a murder trial. Once there, he does everything he can to prolong the trial and deliberations and make the sequestration more comfortable for himself."
172,Kids,1995,0.0,5.0,insufficient sample,6.0,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious",3,"A controversial portrayal of teens in New York City which exposes a deeply disturbing world of sex and substance abuse. The film focuses on a sexually reckless, freckle-faced boy named Telly, whose goal is to have sex with as many different girls as he can. When Jenny, a girl who has had sex only once, tests positive for HIV, she knows she contracted the disease from Telly. When Jenny discovers that Telly's idea of ""safe sex"" is to only have sex with virgins, and is continuing to pass the disease onto other unsuspecting girls, Jenny makes it her business to try to stop him."
173,Living in Oblivion,1995,0.0,3.0,insufficient sample,9.0,Missing,Missing,"Nick is the director of a low-budget indie film. He tries to keep everything together as his production is plagued with an insecure actress, a megalomaniac star, a pretentious, beret-wearing director of photography and lousy catering. Divided in three acts, each representing a different scene to shoot, this film is an essential for amateur filmmakers."
174,Lord of Illusions,1995,0.0,7.0,Missing,Missing,Missing,Missing,"During a routine case in L.A., NY private investigator Harry D'Amour stumbles over members of a fanatic cult who are preparing for the resurrection of their leader Nix, a powerful magician who was killed 13 years earlier."
176,Mad Love,1995,0.5,4.0,Missing,Missing,Missing,Missing,"Matt falls for Casey, the new girl in school. She's fun-loving and eccentric, but there's a darkness to her whimsy that Matt can't begin to comprehend. When Casey attempts to commit suicide, her parents place her in a mental institution. Matt springs her out, and together the young lovers head on a road trip. They believe their love can ""cure"" Casey's problems. Matt starts to wonder, though, if are they inspired or misguided."
177,Mallrats,1995,0.0,8.0,Missing,Missing,"There are two or more women in this movie, but they only talk to each other about a man",2,"Both dumped by their girlfriends, two best friends seek refuge in the local mall."
178,Mighty Morphin Power Rangers: The Movie,1995,0.09090909090909091,11.0,Missing,Missing,There are two or more women in this movie and they talk to each other about something other than a man,3,"Power up with six incredible teens who out-maneuver and defeat evil everywhere as the Mighty Morphin Power Ranger, But this time the Power Rangers may have met their match, when they face off with the most sinister monster the galaxy has ever seen."
179,Moonlight and Valentino,1995,0.0,1.0,insufficient sample,7.0,Missing,Missing,Four women who discover untapped strength within themselves when they finally let go of what divides them
180,Mute Witness,1995,0.0,3.0,insufficient sample,8.0,Missing,Missing,"Billy is mute, but it hasn't kept her from becoming a successful makeup artist. While in Russia, working on a film directed by her sister's boyfriend, Andy, Billy finds herself trapped in the studio one night and is horrified to see a snuff film being made. Billy escapes and, with the help of her sister, Kate, alerts authorities about what she saw. Unfortunately, in doing so, she makes an enemy of the Russian mafia, who funded the snuff film."
181,Nadja,1994,0.2727272727272727,11.0,insufficient sample,6.0,Missing,Missing,"This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their father's death. Meanwhile, they are being hunted by Dr. Van Helsing and his hapless nephew. As in all good vampire movies, forces of love are pitted against forces of destruction."
182,The Net,1995,0.0,6.0,0.25,20.0,There are two or more women in this movie and they talk to each other about something other than a man,3,"Angela Bennett is a freelance software engineer who lives in a world of computer technology. When a cyber friend asks Bennett to debug a new game, she inadvertently becomes involved in a conspiracy that will soon turn her life upside down. While on vacation in Mexico, her purse is stolen. She soon finds that people and events may not be what they seem as she becomes the target of an assassination. Her vacation is ruined.  She gets a new passport at the U.S. Embassy in Mexico but it has the wrong name, Ruth Marx. When she returns to the U.S. to sort things out, she discovers that Ruth Marx has an unsavory past and a lengthy  police record. To make matters worse, another person has assumed her real identity ..."
183,Nine Months,1995,0.20833333333333334,24.0,0.6,15.0,Missing,Missing,"When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse."
185,The Prophecy,1995,0.0,7.0,insufficient sample,7.0,Missing,Missing,"The angel Gabriel comes to Earth to collect a soul which will end the stalemated war in Heaven, and only a former priest and a little girl can stop him."
188,The Scarlet Letter,1995,0.0,5.0,insufficient sample,9.0,Missing,Missing,"Set in puritanical Boston in the mid 1600s, the story of seamstress Hester Prynne, who is outcast after she becomes pregnant by a respected reverend. She refuses to divulge the name of the father, is ""convicted"" of adultery and forced to wear a scarlet ""A"" until an Indian attack unites the Puritans and leads to a reevaluation of their laws and morals."
190,Showgirls,1995,0.125,8.0,Missing,Missing,There are two or more women in this movie and they talk to each other about something other than a man,3,A young drifter named Nomi arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become a top showgirl.
191,Smoke,1995,0.25,8.0,Missing,Missing,Missing,Missing,"Writer Paul Benjamin is nearly hit by a bus when he leaves Auggie Wren's smoke shop. Stranger Rashid Cole  saves his life, and soon middle-aged Paul tells homeless Rashid that he wouldn't mind a short-term housemate. Still grieving over his wife's murder, Paul is moved by both Rashid's quest to reconnect with his father and Auggie's discovery that a woman who might be his daughter is about to give birth."
192,Something to Talk About,1995,0.6,5.0,Missing,Missing,Missing,Missing,"In one of her best-ever roles, Julia Roberts is Grace, whose reaction to the infidelities of Eddie (Dennis Quaid) turns the lives and loves of the people around her into something like falling dominoes. Robert Duvall, Gena Rowlands, Kyra Sedgwick and others in ""the year's best ensemble of characters"" (Jack Matthews, 'Newsday') co-star in this juicy, truthful story written by Callie Khouri"
193,Species,1995,0.14634146341463414,41.0,Missing,Missing,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious",3,"In 1993, the Search for Extra Terrestrial Intelligence Project receives a transmission detailing an alien DNA structure, along with instructions on how to splice it with human DNA. The result is Sil, a sensual but deadly creature who can change from a beautiful woman to an armour-plated killing machine in the blink of an eye."
194,The Stars Fell on Henrietta,1995,0.0,1.0,Missing,Missing,Missing,Missing,"The setting is early America during the oil boom. An elderly, down on his luck 'oil man', Mr. Cox finds himself in the town of Henrietta. Using unconventional methods, he convinces himself and local Don Day that there is oil on Day's land. The financially strapped Day puts everything into finding oil...but at what cost?"
195,Strange Days,1995,0.42857142857142855,14.0,Missing,Missing,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious",3,"Set in the year 1999 during the last days of the old millennium, the movie tells the story of Lenny Nero, an ex-cop who now deals with data-discs containing recorded memories and emotions. One day he receives a disc which contains the memories of a murderer killing a prostitute. Lenny investigates and is pulled deeper and deeper in a whirl of blackmail, murder and rape. Will he survive and solve the case?"
196,Les parapluies de Cherbourg,1964,0.0,2.0,insufficient sample,5.0,Missing,Missing,"This simple romantic tragedy begins in 1957. Guy Foucher, a 20-year-old French auto mechanic, has fallen in love with 17-year-old Geneviève Emery, an employee in her widowed mother's chic but financially embattled umbrella shop. On the evening before Guy is to leave for a two-year tour of combat in Algeria, he and Geneviève make love. She becomes pregnant and must choose between waiting for Guy's return or accepting an offer of marriage from a wealthy diamond merchant."
197,The Tie That Binds,1995,0.3333333333333333,18.0,Missing,Missing,Missing,Missing,John Netherwood and his wife Leann are fugitives who are both wanted for murder. They have a young daughter named Janie and they want her back.
198,Three Wishes,1995,0.6,5.0,Missing,Missing,Missing,Missing,"While Jane Holman is driving with her two sons, she accidentally runs into a drifter, Jack McCloud, who breaks his leg. Being responsible, Jane invites Jack, and his dog, to stay at her home until his leg has healed. Jack struggles to adapt their lifestyle, and finds himself loved by the family."
199,Total Eclipse,1995,0.3333333333333333,6.0,Missing,Missing,"There are two or more women in this movie, but they don't talk to each other",1,"Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle."
200,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,0.38461538461538464,13.0,0.4,15.0,There are two or more women in this movie and they talk to each other about something other than a man,3,"Three New York drag queens on their way to Hollywood for a beauty pageant get stranded in a small Midwestern town for the entire weekend when their car breaks down. While waiting for parts for their Cadillac convertible, the flamboyant trio shows the local homophobic rednecks that appearing different doesn't mean they don't have humanity in common."
201,Under Siege 2: Dark Territory,1995,0.07692307692307693,13.0,0.2727272727272727,11.0,Missing,Missing,"A passenger train has been hijacked by an electronics expert and turned into an untraceable command center for a weapons satellite. He has planned to blow up Washington DC and only one man can stop him, former Navy SEAL Casey Ryback."
202,Unstrung Heroes,1995,0.5,2.0,insufficient sample,4.0,Missing,Missing,"Steven Lidz, unhappy with his home life since his mother got sick, goes and lives with his two crazy Uncles. There he changes and gets closer to his Uncles, but his parents want him home even though he is finally happy and popular. Written by Todd Weiser"
203,Unzipped,1995,Missing,Missing,insufficient sample,6.0,Missing,Missing,"Isaac Mizrahi, one of the most successful designers in high fashion, plans his fall 1994 collection."
204,A Walk in the Clouds,1995,0.17857142857142858,28.0,insufficient sample,8.0,Missing,Missing,World War II vet Paul Sutton falls for a pregnant and unwed woman who persuades him -- during their first encounter -- to pose as her husband so she can face her family.
205,Waterworld,1995,Missing,Missing,0.23076923076923078,13.0,"There are two or more women in this movie, but they only talk to each other about a man",2,"In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her young charge, Enola, and sail off aboard his ship."
